,salary,forecast
1993-05-01,37.5,
1993-06-01,47.4,
1993-07-01,56.0,
1993-08-01,65.4,
1993-09-01,80.9,
1993-10-01,93.0,
1993-11-01,101.5,
1993-12-01,141.2,
1994-01-01,134.2,
1994-02-01,144.7,
1994-03-01,164.8,
1994-04-01,171.5,
1994-05-01,183.5,
1994-06-01,207.5,
1994-07-01,221.0,
1994-08-01,232.8,
1994-09-01,253.2,
1994-10-01,265.0,
1994-11-01,281.6,
1994-12-01,354.2,
1995-01-01,302.6,
1995-02-01,321.0,
1995-03-01,361.5,
1995-04-01,386.2,
1995-05-01,429.9,
1995-06-01,480.6,
1995-07-01,499.5,
1995-08-01,520.6,
1995-09-01,564.5,
1995-10-01,594.5,
1995-11-01,615.7,
1995-12-01,735.5,
1996-01-01,654.8,
1996-02-01,684.4,
1996-03-01,745.0,
1996-04-01,746.5,
1996-05-01,779.3,
1996-06-01,837.2,
1996-07-01,842.8,
1996-08-01,831.0,
1996-09-01,848.1,
1996-10-01,843.3,
1996-11-01,835.0,
1996-12-01,1017.0,
1997-01-01,812.0,
1997-02-01,821.0,
1997-03-01,903.0,
1997-04-01,901.0,
1997-05-01,920.0,
1997-06-01,993.2,
1997-07-01,999.1,
1997-08-01,982.3,
1997-09-01,1026.2,
1997-10-01,1006.1,
1997-11-01,997.8,
1997-12-01,1214.8,
1998-01-01,988.0,
1998-02-01,1000.0,
1998-03-01,1059.0,
1998-04-01,1040.0,
1998-05-01,1047.0,
1998-06-01,1122.0,
1998-07-01,1110.0,
1998-08-01,1052.0,
1998-09-01,1112.0,
1998-10-01,1123.0,
1998-11-01,1164.0,
1998-12-01,1482.0,
1999-01-01,1167.0,
1999-02-01,1199.0,
1999-03-01,1385.0,
1999-04-01,1423.0,
1999-05-01,1472.0,
1999-06-01,1626.0,
1999-07-01,1618.0,
1999-08-01,1608.0,
1999-09-01,1684.0,
1999-10-01,1716.0,
1999-11-01,1789.0,
1999-12-01,2283.0,
2000-01-01,1830.0,
2000-02-01,1839.0,
2000-03-01,2018.0,
2000-04-01,2039.0,
2000-05-01,2101.0,
2000-06-01,2294.0,
2000-07-01,2302.0,
2000-08-01,2289.0,
2000-09-01,2367.0,
2000-10-01,2425.0,
2000-11-01,2508.0,
2000-12-01,3025.0,
2001-01-01,2733.0,
2001-02-01,2655.0,
2001-03-01,2964.0,
2001-04-01,2923.0,
2001-05-01,3054.0,
2001-06-01,3284.0,
2001-07-01,3364.0,
2001-08-01,3376.0,
2001-09-01,3405.0,
2001-10-01,3515.0,
2001-11-01,3578.0,
2001-12-01,4541.0,
2002-01-01,3760.0,
2002-02-01,3725.0,
2002-03-01,4031.0,
2002-04-01,4110.0,
2002-05-01,4187.0,
2002-06-01,4460.0,
2002-07-01,4597.0,
2002-08-01,4511.0,
2002-09-01,4521.0,
2002-10-01,4646.0,
2002-11-01,4694.0,
2002-12-01,5738.0,
2003-01-01,4696.0,
2003-02-01,4701.0,
2003-03-01,4986.0,
2003-04-01,5100.0,
2003-05-01,5221.0,
2003-06-01,5550.0,
2003-07-01,5615.0,
2003-08-01,5491.0,
2003-09-01,5556.0,
2003-10-01,5864.0,
2003-11-01,5990.0,
2003-12-01,7344.0,
2004-01-01,5932.0,
2004-02-01,6141.0,
2004-03-01,6428.0,
2004-04-01,6448.0,
2004-05-01,6524.0,
2004-06-01,7003.0,
2004-07-01,6982.0,
2004-08-01,6873.0,
2004-09-01,6918.0,
2004-10-01,6908.0,
2004-11-01,7046.0,
2004-12-01,8799.0,
2005-01-01,7346.0,
